fig,file,objectid,action,category,title
14,fig-014_lawrence-a-jones-in-his-home-studio-jackson-state-university-n-d-photograph.png,coll095,updated imported,context,"Lawrence A. Jones in his studio, Jackson State University Department of Art"
15,fig-015_maria-jones-jackson-state-university-n-d-yearbook-portrait.png,coll096,updated imported,context,"Maria Jones, Jackson State University"
16,fig-016_lawrence-a-jones-jackson-state-university-n-d-yearbook-portrait.png,coll097,updated imported,context,"Lawrence A. Jones, Jackson State University"
17,fig-017_karl-griffin-center-with-colleagues-and-african-art-objects-jackson-state-university-n-d-photograph.png,coll098,updated imported,context,"Karl Griffin with colleagues and African art objects, Jackson State University"
18,fig-018_karl-griffin-figure-study-n-d.png,coll061,updated existing,object,Figure Study
19,fig-019_karl-griffin-connie-n-d.png,coll059,updated existing,object,Connie
20,fig-020_karl-griffin-nude-woman-n-d.png,coll060,updated existing,object,Nude Woman
21,fig-021_karl-griffin-juanita-n-d.png,coll003,updated existing,object,Juanita
22,fig-022_marcus-douyon-shaping-a-vase-in-the-ceramics-studio-jackson-state-university-n-d-photograph.png,coll099,updated imported,context,"Marcus Douyon shaping a vase in the ceramics shop, Jackson State University"
23,fig-023_students-working-in-the-ceramics-studio-jackson-state-university-department-of-art-n-d-photograph.png,coll100,updated imported,context,"Students working in the ceramics studio, Jackson State University Department of Art"
24,fig-024_marcus-douyon-jackson-state-university-n-d-yearbook-portrait.png,coll101,updated imported,context,"Marcus Douyon, Jackson State University"
25,fig-025_vase-by-marcus-douyon-1972.png,coll083,updated existing,object,Vase
26,fig-026_lawrence-a-jones-unveiling-elizabeth-catletts-portrait-of-phillis-wheatley-with-margaret-walker-presiding-phillis-wheatley-poetry-festival.png,coll102,updated imported,context,"Lawrence A. Jones unveiling Elizabeth Catlett’s portrait of Phillis Wheatley, with Margaret Walker presiding, during the"
27,fig-027_department-of-art-faculty-and-staff-in-a-gallery-space-jackson-state-university-n-d-photograph.png,coll103,updated imported,context,"Department of Art faculty and staff in gallery space, Jackson State University"
28,fig-028_photograph-of-hugh-e-stevens-with-still-life-outside-of-johnson-hall-c.png,coll104,updated imported,object,Hugh E. Stevens with Still Life outside Johnson Hall
29,fig-029_hugh-e-stevens-attr-young-man.png,coll071,updated existing,object,Young Man
30,fig-030_department-of-art-faculty-jackson-state-university-n-d-from-left-roy-farmer-assistant-professor-willie-cook-associate-professor.png,coll105,updated imported,context,"Department of Art faculty, including Floyd Coleman, Jackson State University"
31,fig-031_attributed-to-floyd-coleman-c-1971-oil-on-canvas.png,coll106,updated imported,object,title unknown
32,fig-032_floyd-willis-coleman-study-17-c.png,coll033,updated existing,object,Study #17
33,fig-033_floyd-willis-coleman-mississippi-suite-study-1984.png,coll053,updated existing,object,Mississippi Suite: Study
34,fig-034_brockford-gordon-officer-at-the-flood-1979.png,coll054,updated existing,object,Officer at the Flood
35,fig-035_brockford-gordon-jackson-flood-1979.jpg.png,coll055,updated existing,object,Jackson Flood
36,fig-036_brockford-gordon-kneeling-football-player-n-d.png,coll008,updated existing,object,Kneeling Football Player
37,fig-037_brockford-gordon-eggs-n-d.png,coll057,updated existing,object,Eggs
38,fig-038_brockford-gordon-sewing-machine-n-d.png,coll056,updated existing,object,Sewing Machine
39,fig-039_brockford-gordon-fig-leaf-n-d.png,coll058,updated existing,object,Fig Leaf
40,fig-040_stephenson-lynette-k-untitled-dress.png,coll070,updated existing,object,Untitled (Dress)
41,fig-041_anderson-macklin-abstract-landscape-n-d.png,coll030,updated existing,object,Abstract Landscape
42,fig-042_brutus-quinn-and-peers-at-jackson-state-university-brutus-quinn-and-peers-at-jackson-state-university.png,coll107,updated imported,context,"Photographer unknown, Brutus Quinn and peers at Jackson State University"
43,fig-043_brutus-quinn-my-madonna-ca-1982-oil-on-canvas-51-x-35-5-in.png,coll108,updated imported,object,My Madonna
44,fig-044_dr-chalmers-mayers-jr-composition-number-one-acrylic-and-collage-on-board.png,coll084,updated existing,object,Composition Number One
45,fig-045_john-jennings-stoneye-jackson.png,coll109,updated imported,object,Stoneye Jackson
46,fig-046_john-jennings-the-roach-created-by-robert-roach-ca-2007-medium-and-dimensions-unknown.png,coll110,updated imported,object,The Roach (created by Robert Roach)
47,fig-047_exhibition-poster-captain-america-by-mshindo-i-kuumba-other-heroes-african-american-comic-book-creators-and-characters.png,coll111,updated imported,context,"Exhibition poster for Other Heroes: African American Comic Book Creators and Characters, featuring Captain America by Mshindo I Kuumba, Jackson State University"
48,fig-048_lester-julian-merriweather-foundations-2000.png,coll039,updated existing,object,Foundations
49,fig-049_lester-julian-merriweather-to-maximize-profits-2000-assemblage-mixed-media-on-canvas.png,coll112,updated imported,object,To Maximize Profits
50,fig-050_lester-julian-merriweather-america-s-pastime-2000-assemblage-mixed-media-on-canvas.png,coll113,updated imported,object,America’s Pastime
51,fig-051_lester-julian-merriweather-dans-ce-cas-2000-oil-on-canvas-72-x-72-in.png,coll114,updated imported,object,Dans Ce Cas
52,fig-052_lester-julian-merriweather-self-portrait-twenty-eight-2000-oil-on-canvas-72-x-72-in.png,coll115,updated imported,object,"Self-Portrait, Twenty-Eight"
53,fig-053_dominic-azogini-untitled-sketch-of-a-man-c.png,coll034,updated existing,object,Untitled (Sketch of a Man)
54,fig-054_lee-harris-untitled-sketched-faces-1977-red-and-black-charcoal-on-newsprint.png,coll062,updated existing,object,Untitled (Sketched Faces)
55,fig-055_attma-passage-ca-1980-engraving.png,coll035,updated existing,object,Passage
56,fig-056_left-unknown-19th-century-african-american-portrait.png,coll001,updated existing,object,Nineteenth-Century African American Portrait
57,fig-057_artist-not-currently-known-portrait-after-a-historic-african-american-photograph-n-d-medium-unknown-19-6-x-15-in.png,coll002,updated existing,object,Nineteenth-Century African American Portrait
58,fig-058_roland-freeman-peter.png,coll116,updated imported,object,"Peter, East Baltimore, Maryland"
59,fig-059_roland-freeman-mrs-viola-allen-africatown-al-1985-gelatin-silver-print.png,coll117,updated imported,object,"Mrs. Viola Allen, Africatown, Alabama"
60,fig-060_roland-freeman-community-elders.png,coll118,updated imported,object,"Community Elders, Mississippi"
61,fig-061_roland-freeman-cigar-box-fiddler-scott-dunbar.png,coll119,updated imported,object,"Cigar Box Fiddler Scott Dunbar, Mississippi"
62,fig-062_roland-freeman-getting-acquainted.png,coll120,updated imported,object,"Getting Acquainted, Sunday Afternoon in Druid Hill Park, Baltimore, Maryland"
63,fig-063_roland-freeman-before-sunday-evening-service-st-helena-island-sc-1980-gelatin-silver-print.png,coll121,updated imported,object,"Before Sunday Evening Service, St. Helena Island, South Carolina"
64,fig-064_roland-l-freeman-shopping-on-gay-street-east-baltimore-maryland-1973-gelatin-silver-print-17-x-11-3-8.png,coll122,updated imported,object,"Shopping on Gay Street, East Baltimore, Maryland"
65,fig-065_roland-l-freeman-ruby-quick-wilford-streeter-and-claudie-mae-bright-in-the-sand-hills-near-bennettsville-south.png,coll123,updated imported,object,"Ruby Quick, Wilford Streeter, and Claudie Mae Bright, in the Sand Hills, near Bennettsville, South Carolina"
66,fig-066_mary-lovelace-o-neal-giving-a-painting-demonstration-at-jackson-state-university-jackson.png,coll124,updated imported,context,"Photographer unknown, Mary Lovelace O’Neal giving a painting demonstration at Jackson State University"
67,fig-067_mary-lovelace-o-neal-chairs-and-tables-or-workshop-in-painting-april-1987-oil.png,coll082,updated existing,object,Chairs and Tables or Workshop in Painting
68,fig-068_lewis-lassiter-mannequins-1990.png,coll063,updated existing,object,Mannequins
69,fig-069_lewis-lassiter-ecco-homo-4-20-1991-woodblock-print.png,coll043,updated existing,object,Ecce Homo
70,fig-070_lewis-lassiter-las-cruces-1991-8-20-woodblock-print.png,coll044,updated existing,object,Las Cruces
71,fig-071_thomas-eloby-self-portrait-1968-ink-on-paper.png,coll004,updated existing,object,Self-Portrait
72,fig-072_thomas-eloby-landscape-n-d.png,coll005,updated existing,object,Landscape
73,fig-073_anne-o-hara-three-young-women-1994.png,coll069,updated existing,object,Three Young Women
74,fig-074_ron-schnell-landscape-with-a-bridge-n-d.png,coll010,updated existing,object,Landscape with a Bridge
75,fig-075_ronald-schnell-group-of-figures.png,coll125,updated imported,object,Group of Figures
76,fig-076_ronald-schnell-figure-study.png,coll126,updated imported,object,Figure Study
77,fig-077_ronald-schnell-figures.png,coll127,updated imported,object,Figures
78,fig-078_cliff-johnson-haunted-house.png,coll024,updated existing,object,Haunted House
79,fig-079_jerry-and-terry-lynn-aka-twin-red-manse-2008.png,coll078,updated existing,object,Red Manse
80,fig-080_c-w.png,coll066,updated existing,object,Struggle
81,fig-081_unknown-i-am-a-man.png,coll128,updated imported,object,I Am a Man
82,fig-082_benjamin-macala-face-1980.png,coll064,updated existing,object,Face
83,fig-083_benjamin-macala-untitled-abstract-portrait-of-a-woman-2-1979.png,coll065,updated existing,object,Untitled (Abstract Portrait of a Woman 2)
84,fig-084_godfrey-ndaba-two-women-2.png,coll068,updated existing,object,Two Women (2)
85,fig-085_godfrey-ndaba-two-women-1.png,coll067,updated existing,object,Two Women (1)
86,fig-086_lucky-sibiya-women-with-animals-1979.png,coll016,updated existing,object,Women with Animals
87,fig-087_hargreaves-ntukwana-figure-with-small-bird-n-d-20-x-28-25.png,coll020,updated existing,object,Figure with Small Bird
88,fig-088_hargreaves-ntukwana-figure-with-jug-n-d-14-25x10.png,coll018,updated existing,object,Figure with Jug
89,fig-089_hargreaves-ntukwana-figure-with-violin-n-d.png,coll129,updated imported,object,Figure with Violin
90,fig-090_hargreaves-ntukwana-figure-with-mandolin-n-d-14-25x10.png,coll130,updated imported,object,Figure with Mandolin
91,fig-091_eli-kobeli-musicians-n-d-chalk-on-paper.png,coll021,updated existing,object,Musicians
92,fig-092_page-from-gebedenboek-c.png,coll051,updated existing,object,Page from a Gebedenboek
93,fig-093_page-from-gebedenboek-c.png,coll131,updated imported,object,Page from a Gebedenboek
94,fig-094_jeane-b-oosting.png,coll038,updated existing,object,Autumn
95,fig-095_edward-colker-sign-and-symbol-106-210-1967.png,coll025,updated existing,object,Sign and Symbol
96,fig-096_william-majors-burning-bush-72-110-1967.png,coll036,updated existing,object,Burning Bush
97,fig-097_kojin-toneyama-sunset-191-210-1966.png,coll076,updated existing,object,Sunset
98,fig-098_robert-malone-spring-night-123-210-1966.png,coll042,updated existing,object,Spring Night
99,fig-099_herbert-lewis-fink-the-foot-path-137-210-1965.png,coll037,updated existing,object,The Foot Path
100,fig-100_rodolfo-paras-perez-revelry.png,coll132,updated imported,object,Revelry
