objectid,accession_number,filename,youtubeid,vimeoid,title,creator,date,attribution,medium,dimensions,edition,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll043,JSUART-1991-001,catalog-thumbs/fig-069_lewis-lassiter-ecco-homo-4-20-1991-woodblock-print.png,,,Ecce Homo,Lewis Leon Lassiter,1991,,Woodblock print,9.5 x 11 in,ed. 4/20,"A striking black and white linocut print of Jesus Christ wearing a crown of thorns. The sharp contrasts and bold lines highlight the pain and solemnity of the subject, emphasizing suffering and spirituality.",Figure,"Jackson, Mississippi, United States",32.2988,-90.1848,JSU Department of Art collection catalog,Fig. 69,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll044,JSUART-1991-002,catalog-thumbs/fig-070_lewis-lassiter-las-cruces-1991-8-20-woodblock-print.png,,,Las Cruces,Lewis Leon Lassiter,1991,,Woodblock print,9.5 x 10.5 in,ed. 8/20,"This black and white linocut print portrays a rugged landscape with crosses on a hill, reminiscent of Golgotha. The dynamic, swirling lines and strong contrasts create a dramatic and emotional scene.",Figure,"Jackson, Mississippi, United States",32.2988,-90.1848,JSU Department of Art collection catalog,Fig. 70,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll045,JSUART-1950-001,catalog-thumbs/fig-012_lawrence-a-jones-portrait-of-dr.png,,,Portrait of Dr. Julius Henry Taylor,Lawrence A. Jones,1950,,Oil on canvas,,,"A formal portrait painted in a realistic style. The background includes a chalkboard with mathematical equations, suggesting that the subject may have been an educator or scholar. The composition is dignified, with careful attention to detail in facial features and clothing.",Portraiture,"Jackson, Mississippi, United States",32.2988,-90.1848,JSU Department of Art collection catalog,Fig. 12,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll046,JSUART-1940-001,catalog-thumbs/fig-005_frederick-flemister-the-plotters-1940-oil-on-canvas.png,,,The Plotters,Frederick Flemister,1940,,Oil on canvas,22 x 24 in,,"A dramatic narrative scene featuring three figures engaged in a tense discussion. The rich color palette and strong contrasts between light and shadow add depth and emotion to the composition. The detailed rendering of expressions and gestures suggests themes of power, negotiation, and historical reflection.",Portraiture,"Jackson, Mississippi, United States",32.2988,-90.1848,JSU Department of Art collection catalog,Fig. 5,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll048,JSUART-1943-001,catalog-thumbs/fig-004_hale-aspacio-woodruff-portrait-of-paul-johnson-sr-1943.png,,,"Portrait of Paul Johnson, Sr.",Hale Aspacio Woodruff,1943,,Oil on canvas,29.2 x 36.4 in,,A formal oil portrait of Governor Paul Johnson. ,Portraiture,"Jackson, Mississippi, United States",32.2988,-90.1848,JSU Department of Art collection catalog,Fig. 4,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll051,JSUART-1400-001,catalog-thumbs/fig-092_page-from-gebedenboek-c.png,,,Page from a Gebedenboek,Unknown,c. fifteenth century,,Illuminated manuscript leaf,,,"A beautifully preserved medieval prayer book page, featuring intricate calligraphy in brown ink with vibrant blue, red, and gold decorative initials. ",Manuscript,Netherlandish,52.1326,5.2913,JSU Department of Art collection catalog,Fig. 92,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll052,JSUART-1988-001,Brady.jpg,,,Subject (Martin Luther King/MS map) #79/1,"Brady, Chris",1988,,,,,"A vibrant and symbolic composition, this artwork interweaves elements of African American history, Mississippi heritage, and ambition. The central portrait of MLK is surrounded by significant imagery suggesting themes of progress, perseverance, and legacy. ",Figure,"Jackson, Mississippi, United States",32.2988,-90.1848,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll053,JSUART-1984-001,catalog-thumbs/fig-033_floyd-willis-coleman-mississippi-suite-study-1984.png,,,Mississippi Suite: Study,Floyd Willis Coleman,1984,,Pen and ink on paper,16 x 23.5 in,,"A structured yet free-flowing grid dominates this composition, with repetitive abstract marks in each compartment. The rhythmic, gestural lines suggest themes of pattern, movement, and controlled chaos, creating a sense of visual tension between structure and spontaneity.",Abstract,"Jackson, Mississippi, United States",32.2988,-90.1848,JSU Department of Art collection catalog,Fig. 33,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll054,JSUART-1979-002,catalog-thumbs/fig-034_brockford-gordon-officer-at-the-flood-1979.png,,,Officer at the Flood,Brockford Gordon,1979,,Photograph,14 x 11 in,,A commanding image of a uniformed officer leaning on a barricade in a flooded cityscape. ,Figure,"Jackson, Mississippi, United States",32.2988,-90.1848,JSU Department of Art collection catalog,Fig. 34,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll055,JSUART-1979-003,catalog-thumbs/fig-035_brockford-gordon-jackson-flood-1979.jpg.png,,,Jackson Flood,Brockford Gordon,1979,,Photograph,11 x 14 in,,A striking documentary photograph capturing the aftermath of a flood. ,Landscape,"Jackson, Mississippi, United States",32.2988,-90.1848,JSU Department of Art collection catalog,Fig. 35,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll056,JSUART-2021-016,catalog-thumbs/fig-038_brockford-gordon-sewing-machine-n-d.png,,,Sewing Machine,Brockford Gordon,c. 1975,,Photograph,14 x 12 in,,"A close-up black-and-white photograph of a sewing machine, capturing the intricate details of the needle and thread. ",Still Life,"Jackson, Mississippi, United States",32.2988,-90.1848,JSU Department of Art collection catalog,Fig. 38,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll057,JSUART-2021-017,catalog-thumbs/fig-037_brockford-gordon-eggs-n-d.png,,,Eggs,Brockford Gordon,c. 1975,,Photograph,10 x 8 in,,A black-and-white photograph featuring a bowl with six eggs. ,Still Life,"Jackson, Mississippi, United States",32.2988,-90.1848,JSU Department of Art collection catalog,Fig. 37,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll058,JSUART-2021-018,catalog-thumbs/fig-039_brockford-gordon-fig-leaf-n-d.png,,,Fig Leaf,Brockford Gordon,c. 1975,,Photograph,10 x 8 in,,"A detailed close-up of fig leaves, highlighting their organic structure in high contrast. ",Still Life,"Jackson, Mississippi, United States",32.2988,-90.1848,JSU Department of Art collection catalog,Fig. 39,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll059,JSUART-2021-019,catalog-thumbs/fig-019_karl-griffin-connie-n-d.png,,,Connie,Karl Griffin,c. 1950s,,Oil on canvas,36 x 24 in,,A portrait painting of a nude woman against a neutral draped background. The figure is carefully detailed.,Figure,"Jackson, Mississippi, United States",32.2988,-90.1848,JSU Department of Art collection catalog,Fig. 19,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll060,JSUART-2021-020,catalog-thumbs/fig-020_karl-griffin-nude-woman-n-d.png,,,Nude Woman,Karl Griffin,c. 1950s,,Oil on canvas,,,"A portrait of a seated nude woman in profile, with an expressive background that blends warm earth tones. The painting’s loose, painterly technique allows for an emotive interpretation of the subject. ",Figure,"Jackson, Mississippi, United States",32.2988,-90.1848,JSU Department of Art collection catalog,Fig. 20,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll061,JSUART-2021-021,catalog-thumbs/fig-018_karl-griffin-figure-study-n-d.png,,,Figure Study,Karl Griffin,c. 1950s,,Gouache on paper,15 x 22 in,,"A vibrant, expressive painting of a standing woman adorned with a headscarf and decorative elements.",Figure,"Jackson, Mississippi, United States",32.2988,-90.1848,JSU Department of Art collection catalog,Fig. 18,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll062,JSUART-1977-001,catalog-thumbs/fig-054_lee-harris-untitled-sketched-faces-1977-red-and-black-charcoal-on-newsprint.png,,,Untitled (Sketched Faces),Lee Harris,1977,,Red and black charcoal on newsprint,19.5 x 26 in,,"A fragmented, abstract drawing of two faces overlapping, created with geometric lines and subtle shading. ",Portraiture,"Jackson, Mississippi, United States",32.2988,-90.1848,JSU Department of Art collection catalog,Fig. 54,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll063,JSUART-1990-001,catalog-thumbs/fig-068_lewis-lassiter-mannequins-1990.png,,,Mannequins,Lewis Leon Lassiter,1990,,Oil on canvas,16 x 12 in,,"An abstract composition in bold reds, pinks, and blues, this painting features stylized human figures with geometric elements. The forms are fragmented and angular, suggesting a Cubist influence, with an emphasis on movement and depth.",Figure,"Jackson, Mississippi, United States",32.2988,-90.1848,JSU Department of Art collection catalog,Fig. 68,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll064,JSUART-1980-003,catalog-thumbs/fig-082_benjamin-macala-face-1980.png,,,Face,Benjamin Mzimkulu Macala,1980,,Watercolor and charcoal on paper,25.25 x 40.4 in,,An abstract drawing of a figure with an almost cubist structure. The muted tones and fragmented lines create a sense of introspection and emotional depth.,Portraiture,"Jackson, Mississippi, United States",32.2988,-90.1848,JSU Department of Art collection catalog,Fig. 82,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll065,JSUART-1979-004,catalog-thumbs/fig-083_benjamin-macala-untitled-abstract-portrait-of-a-woman-2-1979.png,,,Untitled (Abstract Portrait of a Woman 2),Benjamin Mzimkulu Macala,1979,,Watercolor and charcoal on paper,40.25 x 25.25 in,,"A continuation of the artist’s signature abstract style, this work features multiple faces and interwoven shapes. The fluid, organic lines and subdued sepia tones evoke a dreamlike or meditative quality.",Portraiture,"Johannesburg, South Africa",-26.2041,28.0473,JSU Department of Art collection catalog,Fig. 83,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll066,JSUART-1964-001,catalog-thumbs/fig-080_c-w.png,,,Struggle,C. W. Moore,1964,,Print after larger acrylic painting on Masonite hardboard,4 x 8 ft,,"A vibrant painting featuring exaggerated and interconnected figures rendered in bold reds, yellows, and blacks. The stylized expressions suggest struggle, resilience, and unity. ",Figure,"Johannesburg, South Africa",-26.2041,28.0473,JSU Department of Art collection catalog,Fig. 80,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll067,JSUART-1980-004,catalog-thumbs/fig-085_godfrey-ndaba-two-women-1.png,,,Two Women (1),Godfrey Ndaba,1980,,Chalk on paper,12.6 x 37.85 in,,"A delicate, gestural drawing portraying a mother cradling a child. The overlapping, sketch-like lines create a sense of movement and fluidity, while soft earth tones add warmth. ",Figure,"Jackson, Mississippi, United States",32.2988,-90.1848,JSU Department of Art collection catalog,Fig. 85,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll068,JSUART-1980-005,catalog-thumbs/fig-084_godfrey-ndaba-two-women-2.png,,,Two Women (2),Godfrey Ndaba,1980,,Chalk on paper,12.6 x 37.85 in,,"A work emphasizing maternal connection. The figures seem to merge into one another, symbolizing interdependence and love. ",Figure,"Johannesburg, South Africa",-26.2041,28.0473,JSU Department of Art collection catalog,Fig. 84,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll069,JSUART-1994-001,catalog-thumbs/fig-073_anne-o-hara-three-young-women-1994.png,,,Three Young Women,Anne O’Hara,1994,,Colored pencil on illustration board,48 x 38 in,,"A finely rendered pencil drawing of three young women. The figures are arranged in a triangular composition: one woman in the foreground wears a T‑shirt printed “GEORGIA,” her hair pulled back, and smiles gently at the viewer; behind her to the left, a tall figure in a floral sleeveless top stands with one hand on her hip; to the right, a third woman, with a sleek bob haircut, leans slightly forward. ",Portraiture,"Johannesburg, South Africa",-26.2041,28.0473,JSU Department of Art collection catalog,Fig. 73,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll070,JSUART-1990-002,catalog-thumbs/fig-040_stephenson-lynette-k-untitled-dress.png,,,Untitled (Dress),Lynette K. Stephenson,c. mid-1990s,,,,,"A large‑scale, unfinished figure painting focused on a torso and skirt. Against a neutral backdrop, a headless figure’s upper body is sketched in muted grays and whites; the lower half is a broad red skirt rendered in energetic vertical strokes, its hem unclear. ",Still Life,"Jackson, Mississippi, United States",32.2988,-90.1848,JSU Department of Art collection catalog,Fig. 40,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll071,JSUART-2021-022,catalog-thumbs/fig-029_hugh-e-stevens-attr-young-man.png,,,Young Man,Hugh E. Stevens,n.d.,Attributed to,Oil on Masonite,51 x 51.5 in,,"A vibrant portrait of a young Black man at his easel. He sits front‑center, holding a green‑edged canvas. He wears a striped collared shirt beneath a rust‑brown sweater vest. Warm studio lighting highlights his rich brown skin tones and the colorful geometric shapes of his workspace behind him.",Portraiture,"Jackson, Mississippi, United States",32.2988,-90.1848,JSU Department of Art collection catalog,Fig. 29,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
